metin,turu,kategori
Adamakla mal tükenmez,atasözü,öğüt
Adamın adı çıkacağına canı çıksın,atasözü,öğüt
Adamın iyisi alışverişte belli olur,atasözü,öğüt
Adamın iyisi iş başında belli olur,atasözü,öğüt
"Adamın yere bakanından, suyun sessiz akanından kork",atasözü,öğüt
"Ağaca çıkan keçinin,dala bakan oğlağı olur",atasözü,öğüt
"Ağacı kurt , insanı dert yer",atasözü,öğüt
Ağaç kökünden yıkılır,atasözü,öğüt
Ağaç yaprağı ile güzeldir,atasözü,öğüt
Ağaç yaş iken eğilir,atasözü,öğüt
Ağılda oğlak doğsa ovada otu biter,atasözü,öğüt
"Ağır giden yol alır, hızlı giden yolda kalır",atasözü,öğüt
Ağır kazan geç kaynar,atasözü,öğüt
Ağır ol ki bey desinler,atasözü,öğüt
Ağır yongayı yel kaldırmaz,atasözü,öğüt
"Ağız yer, yüz utanır",atasözü,öğüt
"Ağlama ölü için, ağla diri için",atasözü,öğüt
Ağlamayan çocuğa meme vermezler,atasözü,öğüt
Ağlatan gülmez,atasözü,öğüt
Ağrısız baş mezarda gerek olur,atasözü,öğüt
Ah alan onmaz,atasözü,öğüt
Ahali isterse padişahı tahttan indirir,atasözü,öğüt
Ahlatın iyisini ayılar yer,atasözü,öğüt
"Ahmağa yüz, abdala söz vermeye gelmez",atasözü,öğüt
Ahmak (şaşkın) misafir ev sahibini ağırlar,atasözü,öğüt
Ahmak iti yol kocatır,atasözü,öğüt
Ak koyunun kara kuzuzu da olur,atasözü,öğüt
Ak akçe kara gün içindir,atasözü,öğüt
Akacak kan damarda durmaz,atasözü,öğüt
Akan çay her zaman kütük getirmez,atasözü,öğüt
Akan su yosun (pislik) tutmaz,atasözü,öğüt
"Akan suya inanma, el oğluna güvenme",atasözü,öğüt
Akar su çukurunu kendi kazar,atasözü,öğüt
Akıl akıldan üstündür,atasözü,öğüt
Akıl için yol (tarik) birdir,atasözü,öğüt
Akıl kişiye (adama) sermayedir,atasözü,öğüt
Akıl para ile satılmaz,atasözü,öğüt
Akıl yaşta değil baştadır,atasözü,öğüt
"Akılları pazara çıkarmışlar, herkes (yine) kendi aklını beğenmiş (almış)",atasözü,öğüt
"Akıllı düşman, akılsız dosttan hayırlıdır",atasözü,öğüt
Akıllı köprü arayıncaya kadar deli suyu geçer,atasözü,öğüt
"Akıllı hırsız, şaşkın ev sahibini bastırır",atasözü,öğüt
"Akıllıyı arkada tutma, akılsızı kılavuz etme",atasözü,öğüt
Akılsız başın zahmetini (cezasını) ayaklar çeker,atasözü,öğüt
Akla gelmeyen başa gelir,atasözü,öğüt
"Aklına geleni işleme, her ağacı taşlama",atasözü,öğüt
Acele işe şeytan karışır,atasözü,sabır
Ağır kazan geç kaynar,atasözü,sabır
Ağır git ki yol alasın,atasözü,sabır
Ağlamayan çocuğa meme verilmez,atasözü,sabır
"Acele giden, ecele gider",atasözü,sabır
"Azıcık aşım, kaygısız başım",atasözü,sabır
Ay doğmadan gece olmaz,atasözü,sabır
Bekâra karı boşamak kolaydır,atasözü,sabır
"Bekleyen derviş, muradına ermiş",atasözü,sabır
Beklemek en büyük sabırdır,atasözü,sabır
"Bıçak yarası geçer, dil yarası geçmez",atasözü,sabır
"Cahil cesur olur, akıllı sabırlı",atasözü,sabır
Cana gelen mala gelsin,atasözü,sabır
Ceviz kabuğunu doldurmaz,atasözü,sabır
Damlaya damlaya göl olur,atasözü,sabır
Dert insanı olgunlaştırır,atasözü,sabır
Diken battığı yerden çıkar,atasözü,sabır
"Eğri otur, doğru konuş",atasözü,sabır
El elin eşeğini türkü çağırarak arar,atasözü,sabır
"Elden gelen öğün olmaz, o da vaktinde bulunmaz",atasözü,sabır
Fazla naz aşık usandırır,atasözü,sabır
"Fazla sabır, arsızı yüzsüz eder",atasözü,sabır
"Fırtına ne kadar sert olursa olsun, sabırla geçer",atasözü,sabır
Gülü seven dikenine katlanır,atasözü,sabır
Gönül ferman dinlemez,atasözü,sabır
"Geç olsun, güç olmasın",atasözü,sabır
Her şeyin bir vakti var,atasözü,sabır
Her sabrın sonu selamettir,atasözü,sabır
Hızlı giden atın başı tez gelir,atasözü,sabır
Isıran köpek dişini göstermez,atasözü,sabır
Ilımlı su taşı deler,atasözü,sabır
İki karpuz bir koltuğa sığmaz.,atasözü,sabır
İşleyen demir ışıldar.,atasözü,sabır
İyilik eden sabırla bekler.,atasözü,sabır
Kervan yolda düzülür.,atasözü,sabır
"Kızım sana söylüyorum, gelinim sen anla.",atasözü,sabır
Kırk kere söylersen olur.,atasözü,sabır
Lafla peynir gemisi yürümez.,atasözü,sabır
"Lafını bilmeyen, belasını bulur.",atasözü,sabır
"Men sabera, zafera.",atasözü,sabır
"Misafir umduğunu değil, bulduğunu yer.",atasözü,sabır
Musibet sabırla geçer.,atasözü,sabır
"Ne ekersen, onu biçersin.",atasözü,sabır
"Ne oldum dememeli, ne olacağım demeli.",atasözü,sabır
"Ne verirsen elinle, o gider seninle.",atasözü,sabır
Nane limon gibi sabır da her derde devadır.,atasözü,sabır
Olacakla öleceğe çare yok.,atasözü,sabır
"Olmaya devlet cihanda, bir nefes sıhhat gibi.",atasözü,sabır
"Olanla övünülmez, olacakla da ölümlenmez.",atasözü,sabır
Para ile imanın kimde olduğu bilinmez.,atasözü,sabır
Pireyi deve yapmak.,atasözü,sabır
"Rüzgâr eken, fırtına biçer.",atasözü,sabır
Rızkı veren Allah’tır.,atasözü,sabır
"Sabreden derviş, muradına ermiş.",atasözü,sabır
"Sabır acıdır, meyvesi tatlıdır.",atasözü,sabır
Sabır da bir sınavdır.,atasözü,sabır
"Sakla samanı, gelir zamanı.",atasözü,sabır
Sakınan göze çöp batar.,atasözü,sabır
"Su akar, yolunu bulur.",atasözü,sabır
Taş yerinde ağırdır.,atasözü,sabır
Taş yerini bulunca oturur.,atasözü,sabır
Tatlı dil yılanı deliğinden çıkarır.,atasözü,sabır
"Tarlada iz, harmanda yüz.",atasözü,sabır
Ucuz etin yahnisi yavan olur.,atasözü,sabır
"Usta, sabırla yetişir.",atasözü,sabır
Vakit nakittir.,atasözü,sabır
Var git başımdan.,atasözü,sabır
Yağmurdan kaçarken doluya tutulmak.,atasözü,sabır
Yavaş giden yol alır.,atasözü,sabır
Yalancının mumu yatsıya kadar yanar.,atasözü,sabır
Yel kayadan ne koparır.,atasözü,sabır
Zaman her şeyin ilacıdır.,atasözü,sabır
Zor oyunu bozar.,atasözü,sabır
"Zora sabreden, zafere ulaşır.",atasözü,sabır
Aklında kalmak,deyim,öğüt
Aklında tutmak,deyim,öğüt
Aklından çıkmak,deyim,öğüt
Aklından geçirmek,deyim,öğüt
Aklından zoru olmak,deyim,öğüt
Aklını almak,deyim,öğüt
Aklını başına almak (toplamak),deyim,öğüt
Aklını başından almak,deyim,öğüt
Aklını bozmak,deyim,öğüt
Aklını çalmak (aklını çelmek),deyim,öğüt
Aklını kaybetmek,deyim,öğüt
Aklına turp sıkayım,deyim,öğüt
Aklına yer etmek,deyim,öğüt
Aklına gelmek,deyim,öğüt
Aklına koymak,deyim,öğüt
Aklına şaşayım,deyim,öğüt
Aklına takılmak,deyim,öğüt
Aklı başında olmamak,deyim,öğüt
Aklı başında,deyim,öğüt
Aklı başından bir karış yukarı (yukarıda),deyim,öğüt
Aklı başından gitmek,deyim,öğüt
Aklı çıkmak,deyim,öğüt
Aklı durmak,deyim,öğüt
Aklı ermek,deyim,öğüt
Akl-ı evvel,deyim,öğüt
Aklı fikri,deyim,öğüt
Aklı gitmek,deyim,öğüt
Aklı kesmek,deyim,öğüt
Aklı sıra,deyim,öğüt
Aklı sonradan gelmek,deyim,öğüt
Aklına esmek,deyim,öğüt
Aklına gelen başına gelmek,deyim,öğüt
Aklı almamak,deyim,öğüt
Aklı bokuna karışmak,deyim,öğüt
Aklı başına gelmek,deyim,öğüt
Akını bokuna karıştırmak,deyim,öğüt
Akıntıya kürek çekmek,deyim,öğüt
Akla karayı seçmek,deyim,öğüt
Akla zarar (akıllara ziyan),deyim,öğüt
Akıllı uslu,deyim,öğüt
Akıllara durgunluk vermek. (Akılları durdurmak.),deyim,öğüt
Akılda kalmak,deyim,öğüt
Akıldan çıkmak,deyim,öğüt
Akıl yatmamak,deyim,öğüt
"Akıl var, yakın var",deyim,öğüt
Akıl vermek,deyim,öğüt
Akıl sır ermemek,deyim,öğüt
Akıl kumkuması (kutusu),deyim,öğüt
Akıl öğretmek,deyim,öğüt
Akıl kârı olmamak,deyim,öğüt
Akıl almamak,deyim,öğüt
Akıl defteri,deyim,öğüt
Akıl etmek,deyim,öğüt
Akıl hocası,deyim,öğüt
Akan sular durmak,deyim,öğüt
Ak süt emmiş,deyim,öğüt
Ak pak,deyim,öğüt
Ağzı açık kalmak,deyim,öğüt
Ağzı gevşek,deyim,öğüt
Ağzı havada,deyim,öğüt
Ağzı kalabalık,deyim,öğüt
Ağzı kara,deyim,öğüt
Ağzı kilitli,deyim,öğüt
Ağzı kulaklarına varmak,deyim,öğüt
Ağzı laf yapmak,deyim,öğüt
Ağzı dili yok,deyim,öğüt
Ağzı bozuk,deyim,öğüt
Ağzı pek,deyim,öğüt
Ağzı pis,deyim,öğüt
Ağzı sık,deyim,öğüt
Ağzı sulanmak,deyim,öğüt
Ağzı süt kokmak,deyim,öğüt
Ağzı var dili yok,deyim,öğüt
Ağzı yanmak,deyim,öğüt
Ağzının içine baktırmak,deyim,öğüt
Ağzına bir kemik atmak,deyim,öğüt
Ağzına bir parmak bal çalmak,deyim,öğüt
Ağzına burnuna bulaştırmak,deyim,öğüt
Ağzına geleni söylemek,deyim,öğüt
Ağzına hiçbir şey koymamak,deyim,öğüt
Ağzına lâyık,deyim,öğüt
Ağzına taş almak,deyim,öğüt
Ağzına tükürdüğümün,deyim,öğüt
Ağzında bakla ıslanmamak,deyim,öğüt
Ağzında bal akmak,deyim,öğüt
Ağzında gevelemek,deyim,öğüt
Ağzından burnundan getirmek,deyim,öğüt
Ağzından çıkanı kulağı işitmemek,deyim,öğüt
Ağzından düşürmemek,deyim,öğüt
Ağzından girip burnundan çıkmak,deyim,öğüt
Ağzından kaçırmak,deyim,öğüt
Ağzından laf almak,deyim,öğüt
Ağzından yel alsın,deyim,öğüt
Ağzını açıp gözünü yummak,deyim,öğüt
Ağzını açmamak,deyim,öğüt
Ağzını aramak,deyim,öğüt
Ağzını bıçak açmamak,deyim,öğüt
Ağzını bozmak,deyim,öğüt
Ağzını havaya açmak,deyim,öğüt
Ağzını hayra aç,deyim,öğüt
Ağzını kapamak,deyim,öğüt
Ağzını kiraya vermek,deyim,öğüt
Ağzını öpeyim,deyim,öğüt
Ağzını topla,deyim,öğüt
Ağzını tutmak,deyim,öğüt
Ağzını yoklamak,deyim,öğüt
Ağzının içine bakmak,deyim,öğüt
Ağzının kokusunu çekmek,deyim,öğüt
Ağzının payını vermek,deyim,öğüt
Ağzının suyu akmak,deyim,öğüt
Ağzının tadı bozulmak,deyim,öğüt
Ağzının tadını bilmek,deyim,öğüt
Ağzıyla kuş tutsa,deyim,öğüt
Ah almak,deyim,öğüt
Ahfeşin keçisi gibi baş sallamak,deyim,öğüt
Ahı çıkmak,deyim,öğüt
Ahı yerde kalmamak,deyim,öğüt
Ahmak islatan,deyim,öğüt
Ahret kardeşi,deyim,öğüt
Ahret yolculuğu,deyim,öğüt
Ahretini kazanmak,deyim,öğüt
Ahrette on parmağı yakasında olmak,deyim,öğüt
Acele işe şeytan karışır.,deyim,sabır
Az kazanan çok kazanır.,deyim,sabır
Ağaç yaşken eğilir.,deyim,sabır
Bir musibet bin nasihatten iyidir.,deyim,sabır
Bütün taşlar yerli yerine oturur.,deyim,sabır
"Büyük lokma ye, büyük söz söyleme.",deyim,sabır
"Canı sıkkın olanın, başı da ağrır.",deyim,sabır
Çivi çiviyi söker.,deyim,sabır
Damlaya damlaya göl olur.,deyim,sabır
Dereyi görmeden paçayı sıvama.,deyim,sabır
"Dil, kemiği aşar.",deyim,sabır
"Elden gelen öğün olmaz, o da vaktinde bulunmaz.",deyim,sabır
Ekin iyisi sapından belli olur.,deyim,sabır
"Fazla mesafe gitmek, aceleyle bir yere varmak kadar tehlikelidir.",deyim,sabır
"Fazla sabır, zaman zaman zarara yol açar.",deyim,sabır
"Fırsat, sabırlı olanlara gelir.",deyim,sabır
Gülü seven dikenine katlanır.,deyim,sabır
Göz var nizam var.,deyim,sabır
Güzele bakmak sabır işidir.,deyim,sabır
Hayat sabır ister.,deyim,sabır
Hızla giden kaybolur.,deyim,sabır
Her işin başı sabırdır.,deyim,sabır
Işık sabırla gelir.,deyim,sabır
İşleyen demir ışıldar.,deyim,sabır
Kervan yolda düzülür.,deyim,sabır
Leylekler sabırlı uçar.,deyim,sabır
Lafla peynir gemisi yürümez.,deyim,sabır
Meyve veren ağaç taşlanır.,deyim,sabır
Mum dibine ışık vermez.,deyim,sabır
"Ne ekersen, onu biçersin.",deyim,sabır
Nasıl istersen öyle gelir.,deyim,sabır
"Ona bakma, buna bak.",deyim,sabır
"O kadar sabırlı ol ki, sonunda karşındaki kişi seni taklit etsin.",deyim,sabır
Pişmiş aşa su katılmaz.,deyim,sabır
"Rüzgar neye eserse, kuş ona uçar.",deyim,sabır
"Rahat batarsa, sabır sabırdır.",deyim,sabır
"Sabır, acıyı tatlıya dönüştürür.",deyim,sabır
Sabır taşı çatladı.,deyim,sabır
"Süleyman sabırlıdır, ama taş da sabır ister.",deyim,sabır
Taş yerinde ağırdır.,deyim,sabır
Tecrübe sabır ister.,deyim,sabır
"Umutsuzluk, sabırla aşılır.",deyim,sabır
Uzak durmak bazen en iyi sabırdır.,deyim,sabır
Varlıklı olmak sabır ister.,deyim,sabır
Vakit geçirmeden harekete geçmek sabır gerektirir.,deyim,sabır
Yavaş yavaş giden çok yol alır.,deyim,sabır
"Yolda sabır, yarında sonuç olur.",deyim,sabır
Zararın neresinden dönülse kârdır.,deyim,sabır
kusur etmemek,Deyim,eleştiri
kusur işlemek,Deyim,eleştiri
kusura bakmamak kalmamak,Deyim,eleştiri
kusursuz dost arayan dostsuz kalır,Atasözü,eleştiri
kusursuz güzel olmaz,Atasözü,eleştiri
kuş kadar canı olmak,Deyim,öğüt
kuş kafesi gibi,Deyim,öğüt
kuşkulu uyku evin bekçisidir,Atasözü,öğüt
kuyruk yapmak,Deyim,öğüt
"kuzguna yavrusu şahin anka, güzel görünür",Atasözü,öğüt
küçük düşmek,Deyim,öğüt
küçük düşürmek,Deyim,öğüt
küçük görmek,Deyim,öğüt
"küheylan at, çul içinde de bellidir",Atasözü,öğüt
kündeden atmak,Deyim,eleştiri
küpe dönmek,Deyim,sabır
kürk ile börk ile adam olunmaz,Atasözü,öğüt
laçka olmak,Deyim,öğüt
laf kaynayıp gitmek,Deyim,eleştiri
laf olsun âdet yerini bulsun,Deyim,eleştiri
laf yok!,Deyim,eleştiri
lafı kıçından anlamak,Deyim,eleştiri
lafını bilmek,Deyim,öğüt
lafını yabana atmamak,Deyim,öğüt
laklak etmek,Deyim,öğüt
lanet etmek,Deyim,sabır
lapa vurmak,Deyim,öğüt
lehinde söylemek bulunmak,Deyim,öğüt
"lokma karın doyurmaz, şefkat artırır",Atasözü,öğüt
lokman hekimin ye dediği,Deyim,öğüt
lokum gibi,Deyim,öğüt
madara etmek,Deyim,eleştiri
madara olmak,Deyim,eleştiri
mahcup çıkarmamak,Deyim,eleştiri
"mal da yalan mülk de yalan, var biraz da sen oyalan",Atasözü,öğüt
mal etmek,Deyim,öğüt
mal melameti örter,Atasözü,eleştiri
mal olmak,Deyim,öğüt
malın iyisi boğazdan geçer,Atasözü,öğüt
"malın iyisi suya yakın, daha iyisi eve yakın",Atasözü,öğüt
mana çıkarmak,Deyim,eleştiri
mangal gibi yüreği olmak,Deyim,öğüt
mantar gibi üremek,Deyim,sabır
marifet iltifata tabidir,Atasözü,öğüt
mars etmek,Deyim,eleştiri
masal âleminde yaşamak,Deyim,öğüt
maşallahı var,Deyim,öğüt
mat etmek,Deyim,öğüt
mazur görmek,Deyim,eleştiri
medet ummak beklemek,Deyim,sabır
mekik atmak,Deyim,eleştiri
mekik dokumak,Deyim,öğüt
mektebi asmak,Deyim,öğüt
melek gibi,Deyim,öğüt
meraka düşmek,Deyim,öğüt
merhametten maraz doğar hasıl olur,Atasözü,öğüt
"mermer iyi taştan, iyilik iki baştan",Atasözü,öğüt
mesken tutmak,Deyim,öğüt
mesleğinin eri erbabı olmak,Deyim,öğüt
meşin gibi,Deyim,öğüt
metanet göstermek,Deyim,sabır
metelik etmez,Deyim,öğüt
metelik vermemek,Deyim,öğüt
meydan dayağı atmak,Deyim,öğüt
meydan dayağı yemek,Deyim,öğüt
meydanı birine veya bir şeye bırakmak,Deyim,öğüt
meyve veren ağaç taşlanır,Atasözü,eleştiri
mezar taşı ile övünülmez,Atasözü,öğüt
mihnet çekmek,Deyim,sabır
minnet altında kalmamak,Deyim,öğüt
minnet duymak,Deyim,öğüt
minnettar kalmak,Deyim,öğüt
miras helal hele ele al demişler,Atasözü,öğüt
miras yemek,Deyim,sabır
mis gibi,Deyim,öğüt
misafir kalmak,Deyim,öğüt
misk yerini belli eder,Atasözü,öğüt
moralini bozmak,Deyim,öğüt
mum yanmayınca pervane dönmez yanmaz,Atasözü,öğüt
mum yapıştırmak,Deyim,eleştiri
müdana etmemek,Deyim,öğüt
mükâfatını görmek,Deyim,öğüt
mülahazat hanesini açık bırakmak,Deyim,sabır
münasebette bulunmak,Deyim,öğüt
mürüvvete endaze olmaz,Atasözü,öğüt
"mürüvvetsiz adam, suyu çekilmiş değirmene benzer",Atasözü,öğüt
müze gibi,Deyim,öğüt
nar gibi,Deyim,öğüt
nasibini almak,Deyim,öğüt
nazarıdikkate almak,Deyim,öğüt
ne âlâ memleket,Deyim,öğüt
ne de olsa,Deyim,eleştiri
ne demeye,Deyim,öğüt
ne denli,Deyim,öğüt
ne dilersen eşine o gelir başına,Atasözü,öğüt
ne gözle bakmak,Deyim,öğüt
ne imiş?,Deyim,öğüt
ne mümkün,Deyim,öğüt
ne olacak!,Deyim,öğüt
ne verirsen elinle o gider seninle,Atasözü,öğüt
ne yazar,Deyim,öğüt
nedir ki,Deyim,öğüt
nefesi kesilmek daralmak veya tutulmak,Deyim,öğüt
nefret uyandırmak,Deyim,eleştiri
nekesle cömerdin harcı birdir,Atasözü,öğüt
nesi var,Deyim,öğüt
netice vermek,Deyim,öğüt
"neye uğradığını bilememek anlamamak, şaşırmak",Deyim,öğüt
neyin nesi kimin fesi,Deyim,öğüt
nihayet vermek,Deyim,öğüt
nikâh koymak,Deyim,öğüt
"nisan yağmuru; altın araba, gümüş tekerlek",Atasözü,öğüt
"niyet hayır, akıbet hayır selamet",Atasözü,öğüt
not almak,Deyim,öğüt
not atmak,Deyim,öğüt
not vermek,Deyim,öğüt
nöbet çalmak,Deyim,sabır
nur topu gibi,Deyim,öğüt
o kadar,Deyim,öğüt
"oğlum deli malı neylesin, oğlum akıllı malı neylesin",Atasözü,öğüt
oh demek,Deyim,eleştiri
oh olsun!,Deyim,eleştiri
"olan dört bağlar, olmayan dert bağlar",Atasözü,öğüt
olan olup biten,Deyim,öğüt
"olsa ile bulsayı ekmişler, yel ile yuf bitmiş",Atasözü,öğüt
"olsayı bulsaya vermişler, hiç doğmuş",Atasözü,öğüt
omuz vermek,Deyim,eleştiri
"on beşinde kız, ya erde gerek ya yerde",Atasözü,öğüt
on para etmemek,Deyim,öğüt
orasına burasına,Deyim,öğüt
"ortaklık öküzden, başlı başına buzağı yeğdir",Atasözü,öğüt
ortalığı kırıp geçirmek,Deyim,sabır
ortaya çıkarmak,Deyim,öğüt
ot gibi,Deyim,öğüt
oya gibi,Deyim,öğüt
oyun bağlamak,Deyim,sabır
oyun çıkarmak,Deyim,öğüt
ödü bokuna karışmak,Deyim,eleştiri
öksüz güler mi meğer yanıla,Atasözü,eleştiri
öksüz neden güler? yanılır da güler,Atasözü,eleştiri
ölçüp biçmek,Deyim,öğüt
ölçüyü kaçırmak,Deyim,öğüt
ölü gözünden yaş ummak,Deyim,sabır
"ölüm ölüm de, hırlamaya ne borcum var?",Atasözü,öğüt
ölümün soluğunu ensesinde duymak hissetmek,Deyim,sabır
"ölürse yer beğensin, ölmezse el beğensin",Atasözü,öğüt
ömre bedel,Deyim,öğüt
ömür sürmek,Deyim,öğüt
ömürsün,Deyim,öğüt
"önce baldın, pekmez oldun; şimdi para etmez oldun",Atasözü,eleştiri
"önce iğneyi kendine batır, sonra çuvaldızı ele",Atasözü,öğüt
öne çıkmak,Deyim,öğüt
önüne arkasına bakmadan,Deyim,öğüt
örnek olmak,Deyim,öğüt
övünmek gibi olmasın,Deyim,öğüt
özen göstermek,Deyim,öğüt
özür dilemek,Deyim,eleştiri
paçaları sıvamak,Deyim,eleştiri
paçavra gibi,Deyim,öğüt
paha biçilmez,Deyim,öğüt
paha biçmek,Deyim,öğüt
pahaya geçmek,Deyim,öğüt
pamuk gibi,Deyim,öğüt
papaz gibi,Deyim,eleştiri
para etmek,Deyim,öğüt
para etmemek,Deyim,öğüt
"para ile değil, sıra ile",Atasözü,sabır
parasını sokağa atmak,Deyim,öğüt
parasıyla rezil olmak,Deyim,öğüt
partiyi kaybetmek,Deyim,öğüt
patırtıya pabuç bırakmamak,Deyim,eleştiri
patinaj yapmak,Deyim,eleştiri
pay bırakmak,Deyim,öğüt
paye vermek,Deyim,öğüt
"pazar, ilk pazardır",Atasözü,öğüt
pazar ola!,Deyim,öğüt
"pekmez gibi malın olsun, antakya'dan sinek gelir",Atasözü,öğüt
peri gibi,Deyim,öğüt
pes etmek,Deyim,eleştiri
peştamal kuşanmak,Deyim,öğüt
pırlanta gibi,Deyim,öğüt
pişti olmak,Deyim,öğüt
piyasaya almamak,Deyim,öğüt
politik davranmak,Deyim,öğüt
posta koymak atmak,Deyim,eleştiri
postayı kesmek,Deyim,öğüt
pöstekiyi kurtarmak,Deyim,öğüt
puan almak kazanmak,Deyim,öğüt
puan vermek,Deyim,öğüt
pula dönmek,Deyim,öğüt
pusu kurmak,Deyim,sabır
pusuya yatmak,Deyim,sabır
puşt olmak,Deyim,eleştiri
rağbet güzel ile zenginedir,Atasözü,öğüt
rahat etmek,Deyim,eleştiri
rahat kıçına batmak,Deyim,öğüt
rahmet olsun canına,Deyim,öğüt
rast gelmek,Deyim,öğüt
rayına girmek,Deyim,öğüt
rekor kırmak,Deyim,öğüt
resim gibi,Deyim,öğüt
revaç bulmak,Deyim,öğüt
revaçta olmak,Deyim,öğüt
revnak vermek,Deyim,öğüt
rezil rüsva olmak,Deyim,eleştiri
rol almak,Deyim,öğüt
rufailere karışmak,Deyim,öğüt
rüya gibi,Deyim,öğüt
"rüzgâra karşı tüküren, kendi yüzüne tükürür",Atasözü,eleştiri
sabahı sabah etmek,Deyim,sabır
sabahı zor etmek,Deyim,sabır
"sabır acıdır, meyvesi tatlıdır",Atasözü,sabır
sabrın sonu selamettir,Atasözü,sabır
"sade pirinç zerde olmaz, bal gerektir kazana; baba malı tez tükenir evlat gerek kazana",Atasözü,eleştiri
sağ olsun,Deyim,sabır
sahile bindirmek,Deyim,öğüt
sahipsiz eve it buyruk,Atasözü,öğüt
sakal keçide de var,Atasözü,öğüt
"sakalla olaydı kişi, keçiye danışırlardı her işi",Atasözü,öğüt
salah bulmak,Deyim,öğüt
saman alevi gibi,Deyim,eleştiri
sanat altın bileziktir,Atasözü,öğüt
sapla samanı karıştırmak,Deyim,öğüt
"sarhoşa dokunma, kendi yıkılsın",Atasözü,eleştiri
sarmaş dolaş olmak,Deyim,eleştiri
savaşım vermek,Deyim,öğüt
saygı göstermek,Deyim,öğüt
sayılı koyunu kurt kapmaz yemez,Atasözü,öğüt
sayıp dökmek,Deyim,eleştiri
sefer etmek,Deyim,öğüt
selam olsun,Deyim,öğüt
"selin ağzı tutulur, elin ağzı tutulmaz",Atasözü,eleştiri
semtine uğramamak,Deyim,öğüt
"sen sağ, ben selamet",Deyim,öğüt
seni gidi seni seni seni,Deyim,eleştiri
seninki can da benimki patlıcan mı?,Atasözü,öğüt
serde ... var,Deyim,öğüt
sermayen bir yumurtaysa taşa çal,Atasözü,öğüt
sermayeyi kediye yüklemek,Deyim,öğüt
"sevda geçer yalan olur, sonra sokar yılan olur",Atasözü,sabır
sıcak bakmak,Deyim,öğüt
sıçan düşse başı yarılır,Deyim,sabır
sıfır çekmek,Deyim,eleştiri
sıkıdan geçirmek,Deyim,öğüt
sıkıya almak,Deyim,sabır
sıra dayağı çekmek,Deyim,öğüt
sırça köşkte oturan komşusuna taş atmamalı,Atasözü,eleştiri
sırra ermek,Deyim,sabır
sinek avlamak,Deyim,eleştiri
sineye çekmek,Deyim,sabır
siper olmak,Deyim,öğüt
sizden iyi olmasın,Deyim,öğüt
sokağa sokaklara düşmek,Deyim,öğüt
sol tarafından kalkmak,Deyim,öğüt
solda sıfır kalmak,Deyim,öğüt
"sonradan görme, gâvurdan dönme",Atasözü,öğüt
sonunu getirememek,Deyim,öğüt
sopa yemek,Deyim,öğüt
sopanın altına yatırmak,Deyim,öğüt
sorması ayıp olmasın sorması ayıp,Deyim,eleştiri
sorumluluk düşmek,Deyim,eleştiri
soyup soğana çevirmek,Deyim,öğüt
söylemesi ayıp,Deyim,eleştiri
söz götürmek,Deyim,sabır
söz gümüşse sükût altındır,Atasözü,öğüt
söz kaldırmamak,Deyim,eleştiri
sözü sohbeti yerinde,Deyim,öğüt
sözün ardı boşa çıkmak,Deyim,öğüt
su aktığı yere yine akar,Atasözü,öğüt
su gibi aziz ol!,Deyim,öğüt
su gibi bilmek okumak,Deyim,eleştiri
su gibi ezberlemek,Deyim,eleştiri
sudan çıkmış balığa dönmek,Deyim,öğüt
sular seller gibi,Deyim,eleştiri
sureti haktan görünmek,Deyim,öğüt
susta durmak,Deyim,sabır
suyu çıkmak,Deyim,öğüt
"suyu getiren de bir, testiyi kıran da",Atasözü,öğüt
suyuna tirit,Deyim,öğüt
suyunu çekmek,Deyim,eleştiri
sülün gibi,Deyim,öğüt
sünnet etmek,Deyim,öğüt
şaibe altında kalmak tutulmak,Deyim,sabır
şaka kaldırmak,Deyim,sabır
şakaya gelmek,Deyim,öğüt
şanına yedirememek,Deyim,öğüt
şansı dönmek,Deyim,öğüt
şansı yaver gitmek,Deyim,öğüt
şapka çıkarmak,Deyim,öğüt
şaşkına dönmek,Deyim,eleştiri
şeamet tellallığı yapmak,Deyim,eleştiri
şeker gibi,Deyim,öğüt
şerbet gibi,Deyim,öğüt
şeriatın kestiği parmak acımaz,Atasözü,sabır
şeşi beş görmek,Deyim,eleştiri
şeytanın dostluğu darağacına kadardır,Atasözü,öğüt
"şık şık çık çık eden nalçadır, iş bitiren akçedir",Atasözü,öğüt
şıp diye,Deyim,eleştiri
şifa bulmak,Deyim,öğüt
şifa niyetine,Deyim,öğüt
şifa vermek,Deyim,öğüt
şifreyi çözmek,Deyim,eleştiri
şiir gibi,Deyim,öğüt
şimşekleri üstüne çekmek,Deyim,eleştiri
şöhret bulmak kazanmak,Deyim,öğüt
tabak sevdiği deriyi taştan taşa yerden yere çalar,Atasözü,öğüt
tabanları yağlamak,Deyim,öğüt
tadı kaçmak gitmek,Deyim,öğüt
tadına varmak,Deyim,öğüt
tadını almak,Deyim,öğüt
tadını çıkarmak,Deyim,öğüt
tahtaya kaldırmak,Deyim,öğüt
takat getirmek,Deyim,sabır
takıp takıştırmak,Deyim,öğüt
taksi çevirmek,Deyim,öğüt
taksite bağlamak,Deyim,eleştiri
talihi yaver gitmek,Deyim,öğüt
tam adamını bulmak adamına düşmek,Deyim,öğüt
tam üstüne basmak,Deyim,öğüt
"tarlanın iyisi suya yakın, daha iyisi eve yakın",Atasözü,öğüt
